SNP	Chromosome	Position	trait1	N1	N2	Rawposition
SAUSA300_1919	16	127371	1.00513131253131e-08	-	hypothetical protein	2085861
SAUSA300_2622	22	107979	1.67954140715294e-08	-	hypothetical protein	2849865
SAUSA300_2075	17	146996	1.78968320100785e-08	rho	transcription termination factor Rho	2236052
SAUSA300_2037	17	112189	1.92443509558527e-08	-	ATP-dependent RNA helicase	2201245
SAUSA300_0532	5	74244	2.02112386082771e-08	fusA	elongation factor G	596508
SAUSA300_1075	9	131527	2.10386246250509e-08	pbpA	penicillin-binding protein 1	1176055
SAUSA300_0717	6	144498	2.1187378240958e-08	nrdF	ribonucleotide-diphosphate reductase subunit beta	797328
SAUSA300_2204	18	150733	2.26797014951667e-08	rplC	50S ribosomal protein L3	2370355
SAUSA300_0919	8	96139	2.5077715651149e-08	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase	1010101
SAUSA300_1179	10	124055	4.37470372745959e-08	-	phosphodiesterase	1299149
SAUSA300_2202	18	149808	4.89909159222314e-08	rplW	50S ribosomal protein L23	2369430
SAUSA300_1781	15	134787	5.55375795781455e-08	hemG	protoporphyrinogen oxidase	1962711
SAUSA300_0528	5	70601	5.6156471582343e-08	rpoC	DNA-directed RNA polymerase subunit beta-	592865
SAUSA300_2201	18	148942	6.41073561459129e-08	rplB	50S ribosomal protein L2	2368564
SAUSA300_1556	13	138256	7.1358136370307e-08	-	GTP-binding protein YqeH	1705048
SAUSA300_0835	7	132473	8.22104834445082e-08	dltA	D-alanine--poly-phosphoribitol- ligase subunit 1	915869
SAUSA300_2259	19	78361	8.40557024498935e-08	-	putative transcriptional regulator	2428549
SAUSA300_2645	22	126623	9.85832662523204e-08	gidA	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	2868509
SAUSA300_0996	8	179456	1.00866629280606e-07	lpdA	dihydrolipoamide dehydrogenase	1093418
SAUSA300_0533	5	75645	1.01508769103751e-07	tuf	elongation factor Tu	597909
SAUSA300_0757	6	192856	1.20715642372201e-07	pgk	phosphoglycerate kinase	845686
SAUSA300_0980	8	161938	1.40975390371342e-07	-	hypothetical protein	1075900
SAUSA300_0016	0	152753	1.42852385894163e-07	dnaB	replicative DNA helicase	22187
SAUSA300_0947	8	122897	1.4448845456464e-07	-	alpha/beta fold family hydrolase	1036859
SAUSA300_1200	10	147665	1.83305079579239e-07	glnR	glutamine synthetase repressor	1322759
SAUSA300_0994	8	176663	2.10366652283648e-07	pdhB	pyruvate dehydrogenase E1 component- beta subunit	1090625
SAUSA300_1602	13	188872	2.25409533111636e-07	-	hypothetical protein	1755664
SAUSA300_1082	9	139936	2.36551796776222e-07	-	hypothetical protein	1184464
SAUSA300_0692	6	115072	2.47766021530181e-07	-	hypothetical protein	767902
SAUSA300_1169	10	113597	2.53821848014382e-07	ftsK	DNA translocase FtsK	1288691
SAUSA300_1597	13	184809	2.69645427252188e-07	ruvB	Holliday junction DNA helicase RuvB	1751601
SAUSA300_2565	21	163020	2.78722257036012e-07	clfB	clumping factor B	2774340
SAUSA300_1149	10	86439	2.80096354238847e-07	rpsB	30S ribosomal protein S2	1261533
SAUSA300_2188	18	143707	3.36716827724895e-07	rplR	50S ribosomal protein L18	2363329
SAUSA300_2282	19	105404	3.46429549236208e-07	-	hypothetical protein	2455592
SAUSA300_2195	18	146615	3.82313651488915e-07	rpsQ	30S ribosomal protein S17	2366237
SAUSA300_0522	4	190775	4.10974904608295e-07	rplK	50S ribosomal protein L11	582473
SAUSA300_1125	9	187196	4.15901543548121e-07	acpP	acyl carrier protein	1231724
SAUSA300_1134	10	66743	4.23090003517778e-07	rplS	50S ribosomal protein L19	1241837
SAUSA300_0524	4	192447	4.34757798414196e-07	rplJ	50S ribosomal protein L10	584145
SAUSA300_2302	19	124535	5.2245882702937e-07	tcaA	teicoplanin resistance associated membrane protein TcaA protein	2474723
SAUSA300_0366	3	157937	5.44199437242619e-07	rpsF	30S ribosomal protein S6	419069
SAUSA300_0619	5	170173	6.08377805838107e-07	-	ABC transporter permease	692437
SAUSA300_1441	12	158948	6.11681905396835e-07	srrB	respiratory response protein- SrrB	1595174
SAUSA300_0479	4	145216	6.37880629103707e-07	-	50S ribosomal protein L25/general stress protein Ctc	536914
SAUSA300_1151	10	88361	6.40761345078168e-07	pyrH	uridylate kinase	1263455
SAUSA300_0987	8	169317	6.59253965697671e-07	-	cytochrome D ubiquinol oxidase- subunit II	1083279
SAUSA300_0364	3	157120	7.16975851746972e-07	ychF	GTP-dependent nucleic acid-binding protein EngD	418252
SAUSA300_0703	6	126255	7.37211330835952e-07	-	sulfatase family protein	779085
SAUSA300_0515	4	186790	7.44460621817743e-07	cysS	cysteinyl-tRNA synthetase	578488
SAUSA300_0681	6	103498	7.70024446574145e-07	-	hypothetical protein	756328
SAUSA300_1704	14	187769	8.49212314340882e-07	leuS	leucyl-tRNA synthetase	1885127
SAUSA300_1270	11	93926	8.56971001230064e-07	femB	methicillin resistance protein FemB	1399586
SAUSA300_0691	6	114411	8.93561949736884e-07	saeR	DNA-binding response regulator SaeR	767241
SAUSA300_2265	19	84781	9.04544045235936e-07	-	putative amino acid permease	2434969
SAUSA300_2092	17	167018	9.31263755613651e-07	dps	general stress protein 20U	2256074
SAUSA300_0715	6	141341	9.3926267053485e-07	nrdI	ribonucleotide reductase stimulatory protein	794171
SAUSA300_1176	10	119556	9.72915652321694e-07	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	1294650
SAUSA300_2128	18	81957	1.08227019049082e-06	-	putative drug transporter	2301579
SAUSA300_2440	20	148487	1.14539241683678e-06	fnbB	fibronectin binding protein B	2629241
SAUSA300_1988	16	188082	1.21360623297222e-06	-	delta-hemolysin	2146572
SAUSA300_1148	10	85330	1.37867900336348e-06	codY	transcriptional repressor CodY	1260424
SAUSA300_2130	18	84179	1.42009946907264e-06	-	UTP-glucose-1-phosphate uridylyltransferase family protein	2303801
SAUSA300_1167	10	109063	1.49913837412805e-06	pnpA	polynucleotide phosphorylase/polyadenylase	1284157
SAUSA300_0368	3	158755	1.73289512535841e-06	rpsR	30S ribosomal protein S18	419887
SAUSA300_1373	12	105131	1.87337686108346e-06	-	ferredoxin	1541357
SAUSA300_1619	14	75006	2.04557162418481e-06	hemA	glutamyl-tRNA reductase	1772364
SAUSA300_2235	18	182183	2.06447198164942e-06	-	iron compound ABC transporter iron compound-binding protein	2401805
SAUSA300_1168	10	110972	2.08526503735206e-06	-	RNA-metabolising metallo-beta-lactamase	1286066
SAUSA300_2147	18	104330	2.14030759038672e-06	-	alcohol dehydrogenase- zinc-containing	2323952
SAUSA300_1881	16	83998	2.18156720942305e-06	gatA	aspartyl/glutamyl-tRNA amidotransferase subunit A	2042488
SAUSA300_0320	3	113355	2.39229521013983e-06	-	triacylglycerol lipase	374487
SAUSA300_1991	16	190475	2.43135727133839e-06	agrC	accessory gene regulator protein C	2148965
SAUSA300_0596	5	148569	2.45954933621524e-06	argS	arginyl-tRNA synthetase	670833
SAUSA300_1687	14	162241	2.58251547542743e-06	-	FtsK/SpoIIIE family protein	1859599
SAUSA300_2477	20	193889	2.64132958718175e-06	cidC	pyruvate oxidase	2674643
SAUSA300_0995	8	178046	2.67762376414827e-06	-	branched-chain alpha-keto acid dehydrogenase subunit E2	1092008
SAUSA300_1541	13	124520	2.76909621297826e-06	grpE	heat shock protein GrpE	1691312
SAUSA300_2100	17	175687	2.80129848319236e-06	-	lytic regulatory protein	2264743
SAUSA300_1848	15	182469	3.149458822835e-06	-	hypothetical protein	2010393
SAUSA300_1378	12	107507	3.18864759993858e-06	-	hypothetical protein	1543733
SAUSA300_2411	20	114999	3.21895113906605e-06	opp-1A	oligopeptide permease- peptide-binding protein	2595753
SAUSA300_1645	14	109184	3.22411891545282e-06	pfkA	6-phosphofructokinase	1806542
SAUSA300_2184	18	141241	3.25046591938659e-06	secY	preprotein translocase subunit SecY	2360863
SAUSA300_1590	13	174154	3.34068153801058e-06	-	GTP pyrophosphokinase	1740946
SAUSA300_1900	16	108759	3.52040048551541e-06	ppaC	putative manganese-dependent inorganic pyrophosphatase	2067249
SAUSA300_0023	0	160174	3.5530650962045e-06	-	hypothetical protein	29608
SAUSA300_0772	7	78553	3.56993147116956e-06	clfA	clumping factor A	861949
SAUSA300_2203	18	150083	3.57924562013558e-06	rplD	50S ribosomal protein L4	2369705
SAUSA300_1341	12	70887	3.65219936295372e-06	pbp2	penicillin binding protein 2	1507113
SAUSA300_0572	5	125347	3.66615209750968e-06	mvk	mevalonate kinase	647611
SAUSA300_1182	10	127438	3.67787263071218e-06	-	pyruvate ferredoxin oxidoreductase- alpha subunit	1302532
SAUSA300_0886	7	190083	3.81001822089686e-06	fabF	3-oxoacyl--acyl-carrier-protein- synthase II	973479
SAUSA300_1622	14	78726	3.90408658626693e-06	tig	trigger factor	1776084
SAUSA300_0467	4	136064	3.90892458219539e-06	metS	methionyl-tRNA synthetase	527762
SAUSA300_0491	4	160080	4.05376783905266e-06	cysK	cysteine synthase A	551778
SAUSA300_0959	8	138223	4.18189416072958e-06	fmt	fmt protein	1052185
SAUSA300_2026	17	98962	4.20039547506953e-06	-	PemK family protein	2188018
SAUSA300_2329	19	154762	4.20600740402614e-06	gltT	proton/sodium-glutamate symport protein	2504950
SAUSA300_1790	15	144595	4.24315962599443e-06	prsA	foldase protein PrsA	1972519
SAUSA300_1232	10	176420	4.33583184190285e-06	-	catalase	1351514
SAUSA300_1975	16	171316	4.46980919817161e-06	-	Aerolysin/leukocidin family protein	2129806
SAUSA300_1533	13	115892	4.79266573855253e-06	-	hypothetical protein	1682684
SAUSA300_1674	14	144012	5.64111323242974e-06	-	putative serine protease HtrA	1841370
SAUSA300_0521	4	190172	6.08632336981148e-06	nusG	transcription antitermination protein	581870
SAUSA300_1595	13	182620	6.08894313246357e-06	tgt	queuine tRNA-ribosyltransferase	1749412
SAUSA300_0349	3	139799	6.1239175486814e-06	-	hypothetical protein	400931
SAUSA300_1161	10	101283	6.45739113739829e-06	-	ribosomal protein L7Ae	1276377
SAUSA300_2040	17	118189	6.60889026690172e-06	-	hypothetical protein	2207245
SAUSA300_2196	18	146902	6.7999060444786e-06	rpmC	50S ribosomal protein L29	2366524
SAUSA300_2249	19	65814	6.8036489577135e-06	ssaA	secretory antigen precursor SsaA	2416002
SAUSA300_1166	10	106597	6.95876961462944e-06	rpsO	30S ribosomal protein S15	1281691
SAUSA300_1873	16	74267	7.20551804594203e-06	-	Mur ligase family protein	2032757
SAUSA300_1521	13	104504	7.49950875250483e-06	rpoD	RNA polymerase sigma factor RpoD	1671296
SAUSA300_1118	9	179397	7.90463062048386e-06	-	hypothetical protein	1223925
SAUSA300_1315	11	142664	7.9656859941849e-06	crr	PTS system- glucose-specific IIA component	1448324
SAUSA300_0013	0	148896	8.07308912131036e-06	-	hypothetical protein	18330
SAUSA300_0837	7	133938	8.08017173336397e-06	dltC	D-alanine--poly-phosphoribitol- ligase subunit 2	917334
SAUSA300_1073	9	128897	8.09792401729827e-06	mraW	S-adenosyl-methyltransferase MraW	1173425
SAUSA300_1695	14	171614	8.18893800057411e-06	-	hypothetical protein	1868972
SAUSA300_2551	21	146065	8.19710851803326e-06	nrdD	anaerobic ribonucleoside triphosphate reductase	2757385
SAUSA300_1246	10	194742	8.27152632820605e-06	acnA	aconitate hydratase	1369836
SAUSA300_0962	8	139642	8.61222818650078e-06	qoxB	quinol oxidase- subunit I	1053604
SAUSA300_1465	12	183138	8.78612251140811e-06	-	2-oxoisovalerate dehydrogenase- E1 component- beta subunit	1619364
SAUSA300_0252	2	174474	8.93877915839106e-06	-	glycosyl transferase- group 2 family protein	305040
SAUSA300_2027	17	99576	9.07345285463173e-06	alr	alanine racemase	2188632
SAUSA300_0380	3	168279	9.38635707210697e-06	ahpC	alkyl hydroperoxide reductase subunit C	429411
SAUSA300_2506	21	100735	9.99748931313443e-06	isaA	immunodominant antigen A	2712055
SAUSA300_0527	5	66841	1.00395387058936e-05	rpoB	DNA-directed RNA polymerase subunit beta	589105
SAUSA300_0819	7	116539	1.03157221235975e-05	sufD	FeS assembly protein SufD	899935
SAUSA300_0429	4	91967	1.05592808898471e-05	-	hypothetical protein	483665
SAUSA300_1592	13	177311	1.05766537752946e-05	recJ	single-stranded-DNA-specific exonuclease RecJ	1744103
SAUSA300_0855	7	148293	1.05883971000131e-05	mnhA	monovalent cation/H+ antiporter subunit A	931689
SAUSA300_1250	11	68507	1.05998770327671e-05	parE	DNA topoisomerase IV subunit B	1374167
SAUSA300_1880	16	82558	1.10390670861315e-05	gatB	aspartyl/glutamyl-tRNA amidotransferase subunit B	2041048
SAUSA300_1725	15	79547	1.11906547671511e-05	-	putative translaldolase	1907471
SAUSA300_1362	12	92756	1.17007623941892e-05	hup	DNA-binding protein HU	1528982
SAUSA300_1522	13	105834	1.17622354788938e-05	dnaG	DNA primase	1672626
SAUSA300_2039	17	115599	1.18452386401289e-05	ddl	D-alanyl-alanine synthetase A	2204655
SAUSA300_0379	3	166740	1.20840711291267e-05	ahpF	alkyl hydroperoxide reductase subunit F	427872
SAUSA300_0988	8	170112	1.21234387113213e-05	trkA	potassium uptake protein	1084074
SAUSA300_0989	8	170461	1.21485084491882e-05	-	hypothetical protein	1084423
SAUSA300_2253	19	70231	1.22800644212468e-05	ssaA	secretory antigen precursor SsaA	2420419
SAUSA300_1243	10	188862	1.26065251829373e-05	sbcC	exonuclease SbcC	1363956
SAUSA300_1627	14	82520	1.26835944261823e-05	infC	translation initiation factor IF-3	1779878
SAUSA300_0409	4	71251	1.29318447738031e-05	-	hypothetical protein	462949
SAUSA300_1009	8	191672	1.29848447980106e-05	typA	GTP-binding protein	1105634
SAUSA300_1593	13	179787	1.36062187848798e-05	secF	bifunctional preprotein translocase subunit SecD/SecF	1746579
SAUSA300_1080	9	138193	1.41799437807079e-05	ftsZ	cell division protein FtsZ	1182721
SAUSA300_2441	20	151991	1.52380163028489e-05	fnbA	fibronectin binding protein A	2632745
SAUSA300_2187	18	143186	1.54404401138377e-05	rpsE	30S ribosomal protein S5	2362808
SAUSA300_2180	18	139633	1.67169790129122e-05	rpsM	30S ribosomal protein S13	2359255
SAUSA300_1181	10	125538	1.68412987451814e-05	-	hypothetical protein	1300632
SAUSA300_1601	13	188576	1.90876313447643e-05	rpmA	50S ribosomal protein L27	1755368
SAUSA300_0690	6	113356	1.93576070301576e-05	saeS	sensor histidine kinase SaeS	766186
SAUSA300_1467	12	185129	1.97335680023303e-05	lpdA	dihydrolipoamide dehydrogenase	1621355
SAUSA300_2064	17	137259	2.03187757396209e-05	atpB	F0F1 ATP synthase subunit A	2226315
SAUSA300_1178	10	122142	2.03213154029322e-05	recA	recombinase A	1297236
SAUSA300_0898	8	73403	2.0771045530022e-05	spxA	transcriptional regulator Spx	987365
SAUSA300_1525	13	110872	2.08394288557263e-05	glyS	glycyl-tRNA synthetase	1677664
SAUSA300_2055	17	129290	2.12400019258791e-05	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2218346
SAUSA300_2639	22	122797	2.15382935050825e-05	-	cold shock protein	2864683
SAUSA300_0496	4	163941	2.1753804651754e-05	lysS	lysyl-tRNA synthetase	555639
SAUSA300_1382	12	110923	2.19300448315861e-05	lukS-PV	Panton-Valentine leukocidin- LukS-PV	1547149
SAUSA300_2178	18	138201	2.28735511598811e-05	rpoA	DNA-directed RNA polymerase subunit alpha	2357823
SAUSA300_1245	10	191145	2.30346257869186e-05	opuD	glycine betaine transporter opuD	1366239
SAUSA300_1666	14	134618	2.30431398799565e-05	rpsD	30S ribosomal protein S4	1831976
SAUSA300_2367	19	195361	2.33396146852535e-05	hlgB	gamma-hemolysin component B	2545549
SAUSA300_1349	12	79958	2.35596260818679e-05	-	glycosyl transferase- group 1 family protein	1516184
SAUSA300_2179	18	139220	2.36723877441462e-05	rpsK	30S ribosomal protein S11	2358842
SAUSA300_0107	1	119003	2.37208222868464e-05	-	Na/Pi cotransporter family protein	119003
SAUSA300_2578	21	181195	2.40986504400668e-05	-	putative phage infection protein	2792515
SAUSA300_0986	8	168301	2.41085931069866e-05	-	cytochrome D ubiquinol oxidase- subunit I	1082263
SAUSA300_2079	17	152373	2.44102412072462e-05	fba	fructose-bisphosphate aldolase	2241429
SAUSA300_1160	10	100969	2.44536796964411e-05	-	hypothetical protein	1276063
SAUSA300_0829	7	127275	2.5121204744014e-05	lipA	lipoyl synthase	910671
SAUSA300_2067	17	140336	2.52102866429452e-05	glyA	serine hydroxymethyltransferase	2229392
SAUSA300_0523	4	191675	2.5944386090885e-05	rplA	50S ribosomal protein L1	583373
SAUSA300_1044	9	97836	2.79316961989002e-05	trx	thioredoxin	1142364
SAUSA300_1847	15	180442	2.88780829503723e-05	-	hypothetical protein	2008366
SAUSA300_0544	5	87865	2.90496892656164e-05	-	HAD superfamily hydrolase	610129
SAUSA300_1087	9	145302	2.96425289041887e-05	ileS	isoleucyl-tRNA synthetase	1189830
SAUSA300_2046	17	122370	3.00143773810555e-05	oxaA	membrane protein oxaA	2211426
SAUSA300_0251	2	172717	3.00381071136397e-05	-	putative teichoic acid biosynthesis protein	303283
SAUSA300_2414	20	118863	3.01714687602237e-05	-	hypothetical protein	2599617
SAUSA300_1535	13	117826	3.01978109363386e-05	rpsU	30S ribosomal protein S21	1684618
SAUSA300_1686	14	160904	3.06047829061397e-05	murC	UDP-N-acetylmuramate--L-alanine ligase	1858262
SAUSA300_0426	4	90086	3.10164468916616e-05	-	hypothetical protein	481784
SAUSA300_0760	7	66127	3.13306160966286e-05	eno	phosphopyruvate hydratase	849523
SAUSA300_1144	10	81208	3.20512447755328e-05	gid	tRNA -uracil-5---methyltransferase Gid	1256302
SAUSA300_2194	18	146215	3.29398001969612e-05	rplN	50S ribosomal protein L14	2365837
SAUSA300_2364	19	191403	3.47290374336555e-05	sbi	IgG-binding protein SBI	2541591
SAUSA300_1301	11	125741	3.4964047179134e-05	-	hypothetical protein	1431401
SAUSA300_2385	20	85187	3.65285018991698e-05	-	hypothetical protein	2565941
SAUSA300_0550	5	101811	3.69003322293583e-05	-	glycosyl transferase- group 1 family protein	624075
SAUSA300_1051	9	105643	3.83652692207794e-05	-	hypothetical protein	1150171
SAUSA300_0946	8	122107	3.85690822937526e-05	menD	2-succinyl-6-hydroxy-2-4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase	1036069
SAUSA300_0867	7	164361	3.87059840334859e-05	spsA	signal peptidase IA	947757
SAUSA300_0696	6	118007	3.90402423800178e-05	-	6-pyruvoyl tetrahydrobiopterin synthase-like protein	770837
SAUSA300_1381	12	109944	4.12345851531084e-05	lukF-PV	Panton-Valentine leukocidin- LukF-PV	1546170
SAUSA300_1617	14	73201	4.1525370336805e-05	hemC	porphobilinogen deaminase	1770559
SAUSA300_1576	13	158237	4.32722292153703e-05	-	RecD/TraA family helicase	1725029
SAUSA300_1569	13	151057	4.70182496584704e-05	-	U32 family peptidase	1717849
SAUSA300_0632	5	185585	4.84408964188052e-05	-	hypothetical protein	707849
SAUSA300_0993	8	175682	4.89549421128867e-05	pdhA	pyruvate dehydrogenase E1 component- alpha subunit	1089644
SAUSA300_2245	18	191078	4.97597149864967e-05	-	accessory regulator R	2410700
SAUSA300_1113	9	175615	5.01051695538546e-05	pknB	protein kinase	1220143
SAUSA300_2357	19	183263	5.05762912837942e-05	-	ABC transporter ATP-binding protein	2533451
SAUSA300_1470	12	189280	5.06185802232622e-05	-	geranyltranstransferase	1625506
SAUSA300_1647	14	111365	5.23720905978355e-05	accD	acetyl-CoA carboxylase subunit beta	1808723
SAUSA300_1012	8	192879	5.29530056124577e-05	-	hypothetical protein	1106841
SAUSA300_2581	21	187241	5.37240569091512e-05	-	putative surface anchored protein	2798561
SAUSA300_1085	9	141687	5.44590399050871e-05	-	hypothetical protein	1186215
SAUSA300_1026	9	77416	5.46823859760863e-05	-	hypothetical protein	1121944
SAUSA300_1916	16	123231	5.48983208925231e-05	-	hypothetical protein	2081721
SAUSA300_2104	17	181139	5.5226021940262e-05	glmS	glucosamine--fructose-6-phosphate aminotransferase	2270195
SAUSA300_0530	5	71503	5.57008105710832e-05	rpsL	30S ribosomal protein S12	593767
SAUSA300_1729	15	84921	5.64275712031991e-05	-	hypothetical protein	1912845
SAUSA300_0977	8	156984	5.77108424114125e-05	-	cobalt transport family protein	1070946
SAUSA300_0838	7	135110	5.82019772380312e-05	dltD	D-alanine-activating enzyme/D-alanine-D-alanyl- dltD protein	918506
SAUSA300_1603	13	189198	5.92258957126789e-05	rplU	50S ribosomal protein L21	1755990
SAUSA300_0536	5	79604	5.98092746378356e-05	-	chaperone protein HchA	601868
SAUSA300_2412	20	116740	6.07230636294958e-05	-	hypothetical protein	2597494
SAUSA300_0902	8	77455	6.16525634820902e-05	pepF	oligoendopeptidase F	991417
SAUSA300_1436	12	153110	6.18324227034915e-05	-	phiSLT ORF144-like protein lipoprotein	1589336
SAUSA300_2182	18	140166	6.21748096206179e-05	infA	translation initiation factor IF-1	2359788
SAUSA300_1329	11	184362	6.34376006358469e-05	-	amino acid permease	1490022
SAUSA300_0756	6	191527	6.40796643443479e-05	gap	glyceraldehyde-3-phosphate dehydrogenase- type I	844357
SAUSA300_1922	16	129935	6.47253365392841e-05	sak	staphylokinase	2088425
SAUSA300_1879	16	80842	6.55076727447198e-05	-	putative lipid kinase	2039332
SAUSA300_0489	4	157859	6.74191429821294e-05	-	putative cell division protein FtsH	549557
SAUSA300_1600	13	186929	6.74292539136238e-05	obgE	GTPase ObgE	1753721
SAUSA300_0573	5	126335	6.84445480018332e-05	mvaD	mevalonate diphosphate decarboxylase	648599
SAUSA300_1572	13	154186	6.91275885793117e-05	-	hypothetical protein	1720978
SAUSA300_0693	6	115887	6.98824567981228e-05	-	hypothetical protein	768717
SAUSA300_0755	6	190464	7.08233024952001e-05	-	glycolytic operon regulator	843294
SAUSA300_1577	13	160716	7.22058815436763e-05	-	TPR domain-containing protein	1727508
SAUSA300_1506	13	90967	7.50260280415659e-05	-	hypothetical protein	1657759
SAUSA300_1462	12	180069	7.6570501815587e-05	-	hypothetical protein	1616295
SAUSA300_1376	12	106379	7.6972452893468e-05	-	putative lipoprotein	1542605
SAUSA300_0389	3	180256	7.7527912481205e-05	guaA	GMP synthase	441388
SAUSA300_0821	7	118349	7.80489116414102e-05	-	NifU family SUF system FeS assembly protein	901745
SAUSA300_0733	6	161425	8.07551046761153e-05	-	degV family protein	814255
SAUSA300_2189	18	144097	8.33348577273702e-05	rplF	50S ribosomal protein L6	2363719
SAUSA300_0620	5	171003	8.44958765325368e-05	-	ABC transporter ATP-binding protein	693267
SAUSA300_1573	13	154509	8.49847965581382e-05	-	Holliday junction resolvase-like protein	1721301
SAUSA300_1644	14	107405	8.61191140370672e-05	pyk	pyruvate kinase	1804763
SAUSA300_1447	12	164210	8.83920718665092e-05	xerD	tyrosine recombinase XerD	1600436
SAUSA300_2099	17	174330	8.92884817401595e-05	-	cation efflux family protein	2263386
SAUSA300_1078	9	135470	9.07407489866394e-05	divIB	cell division protein	1179998
SAUSA300_1513	13	97144	9.41976103554198e-05	-	Fe/Mn family superoxide dismutase	1663936
SAUSA300_1236	10	179555	9.60749346647274e-05	-	hypothetical protein	1354649
SAUSA300_1185	10	130370	9.64797049793311e-05	miaB	-dimethylallyl-adenosine tRNA methylthiotransferase	1305464
SAUSA300_1314	11	142443	9.95690721142769e-05	-	hypothetical protein	1448103
SAUSA300_0957	8	134844	0.000100086555111542	-	hypothetical protein	1048806
SAUSA300_1346	12	75076	0.000103028752897127	-	DnaQ family exonuclease/DinG family helicase	1511302
SAUSA300_0629	5	179196	0.000107536153165181	pbp4	penicillin-binding protein 4	701460
SAUSA300_0590	5	142182	0.000107854171931862	-	hypothetical protein	664446
SAUSA300_0814	7	110944	0.000109009402705139	-	hypothetical protein	894340
SAUSA300_1475	12	192542	0.000110594797626718	accC	acetyl-CoA carboxylase biotin carboxylase subunit	1628768
SAUSA300_1544	13	127942	0.000111113677017146	lepA	GTP-binding protein LepA	1694734
SAUSA300_0014	0	150878	0.000113337764354832	-	hypothetical protein	20312
SAUSA300_0374	3	163958	0.000114270494194961	-	hypothetical protein	425090
SAUSA300_1333	11	189341	0.000115505207810273	-	hypothetical protein	1495001
SAUSA300_2190	18	144658	0.000115674394187338	rpsH	30S ribosomal protein S8	2364280
SAUSA300_2205	18	151423	0.000116118599147965	rpsJ	30S ribosomal protein S10	2371045
SAUSA300_2362	19	187462	0.000121477077591965	gpmA	phosphoglyceromutase	2537650
SAUSA300_0873	7	174199	0.000121717561724143	cdr	coenzyme A disulfide reductase	957595
SAUSA300_1152	10	88934	0.000122159037234066	frr	ribosome recycling factor	1264028
SAUSA300_1143	10	79745	0.000122295392082371	topA	DNA topoisomerase I	1254839
SAUSA300_0990	8	172158	0.000125483969638148	-	hypothetical protein	1086120
SAUSA300_0555	5	107258	0.000125627234304904	-	putative hexulose-6-phosphate synthase	629522
SAUSA300_1885	16	88965	0.00012756749434319	ligA	DNA ligase	2047455
SAUSA300_1472	12	190362	0.000133411217657986	xseA	exodeoxyribonuclease VII large subunit	1626588
