SNP	Chromosome	Position	trait1	N1	N2	Rawposition
SAUSA300_1973	16	170040	0.0633828681034863	-	truncated beta-hemolysin	2128530
SAUSA300_2206	18	152477	0.0633828888351333	-	hypothetical protein	2372099
SAUSA300_2640	22	122924	0.0633828962441355	-	putative transcriptional regulator	2864810
SAUSA300_2330	19	156221	0.0633829039225404	-	hypothetical protein	2506409
SAUSA300_1326	11	151092	0.0633829421837313	-	putative cell wall enzyme EbsB	1456752
SAUSA300_0395	3	185985	0.0633829768241353	-	superantigen-like protein	447117
SAUSA300_0603	5	155034	0.0633830489283368	-	hypothetical protein	677298
SAUSA300_0084	1	92713	0.0633831426008419	-	hypothetical protein	92713
SAUSA300_0390	3	180369	0.0633833050721867	-	hypothetical protein	441501
SAUSA300_1210	10	155942	0.0633833319427302	-	hypothetical protein	1331036
SAUSA300_2221	18	171284	0.0633834060314129	moaD	molybdopterin converting factor- subunit 1	2390906
SAUSA300_1184	10	128692	0.0633834221582964	-	hypothetical protein	1303786
SAUSA300_0779	7	84838	0.0633834734755672	-	hypothetical protein	868234
SAUSA300_0193	2	95349	0.0633834916266622	murQ	N-acetylmuramic acid-6-phosphate etherase	225915
SAUSA300_0577	5	129303	0.0633835495245311	-	hypothetical protein	651567
SAUSA300_2158	18	115514	0.0633837339061669	-	hypothetical protein	2335136
SAUSA300_2283	19	105470	0.0633838464650723	rpiA	ribose-5-phosphate isomerase A	2455658
SAUSA300_1253	11	73970	0.0633839420501917	glcT	transcription antiterminator	1379630
SAUSA300_1863	16	65486	0.0633841272258663	-	hypothetical protein	2023976
SAUSA300_2535	21	125330	0.0633841687726066	panE	2-dehydropantoate 2-reductase	2736650
SAUSA300_0210	2	119247	0.063384212014965	-	maltose ABC transporter permease	249813
SAUSA300_2502	21	95858	0.063384212014965	-	hypothetical protein	2707178
SAUSA300_2596	22	81018	0.0633843039672263	cap1C	capsular polysaccharide biosynthesis protein Cap1C	2822904
SAUSA300_2146	18	103095	0.0633845128058635	-	alcohol dehydrogenase- zinc-containing	2322717
SAUSA300_2390	20	92864	0.0633845709451751	opuCd	glycine betaine/carnitine/choline transport system permease	2573618
SAUSA300_2631	22	116609	0.0633846317470225	-	putative N-acetyltransferase	2858495
SAUSA300_0183	2	81309	0.0633849050842003	-	hypothetical protein	211875
SAUSA300_0916	8	91769	0.063385534689041	-	hypothetical protein	1005731
SAUSA300_0098	1	108788	0.06338564514794	-	hypothetical protein	108788
SAUSA300_0887	7	191679	0.0633858854879168	oppB	oligopeptide ABC transporter permease	975075
SAUSA300_1450	12	167232	0.0633858854879168	-	aldo/keto reductase family oxidoreductase	1603458
SAUSA300_1457	12	175090	0.0633860163975581	malR	maltose operon transcriptional repressor	1611316
SAUSA300_1093	9	151981	0.063386016397559	pyrB	aspartate carbamoyltransferase catalytic subunit	1196509
SAUSA300_1288	11	114291	0.063386016397559	dapA	dihydrodipicolinate synthase	1419951
SAUSA300_0214	2	123326	0.0633864594045432	-	hypothetical protein	253892
SAUSA300_1957	16	156148	0.0633868040959726	-	phiPVL ORF046-like protein	2114638
SAUSA300_2453	20	169385	0.0633869939270377	-	ABC transporter ATP-binding protein	2650139
SAUSA300_0161	1	184333	0.0633876470228119	cap5J	capsular polysaccharide biosynthesis protein Cap5J	184333
SAUSA300_0236	2	153634	0.063387647022812	-	PTS system- IIBC components	284200
SAUSA300_0175	2	67490	0.0633878972097834	-	putative lipoprotein	198056
SAUSA300_2159	18	116728	0.0633878972097834	-	aldo/keto reductase family protein	2336350
SAUSA300_2449	20	164110	0.0633881663918624	-	putative transporter	2644864
SAUSA300_2609	22	94378	0.0633881663918624	hisB	imidazoleglycerol-phosphate dehydratase	2836264
SAUSA300_0888	7	192749	0.0633894767349923	oppC	oligopeptide ABC transporter permease	976145
SAUSA300_2383	20	82831	0.0633894767349923	-	amino acid permease	2563585
SAUSA300_0727	6	154452	0.0633907875860563	pepT	peptidase T	807282
SAUSA300_2001	17	72645	0.0633918806756064	-	DNA mismatch repair protein-like protein	2161701
SAUSA300_0244	2	163422	0.0633918806756064	-	zinc-binding dehydrogenase family oxidoreductase	293988
SAUSA300_0132	1	151295	0.0633948400665531	-	glycosyl transferase- group 1 family protein	151295
SAUSA300_2417	20	123768	0.0633968796988438	-	putative transporter	2604522
SAUSA300_2276	19	96782	0.0633968796988439	-	M20/M25/M40 family peptidase	2446970
SAUSA300_2344	19	170602	0.0633980958684468	-	uroporphyrin-III C-methyl transferase	2520790
SAUSA300_0180	2	72702	0.0634010442786542	-	integral membrane protein LmrP	203268
SAUSA300_2107	17	187776	0.0634010442786544	mtlA	PTS system- mannitol specific IIA component	2276832
SAUSA300_2374	20	70604	0.0634049203197381	-	ABC transporter ATP-binding/permease	2551358
SAUSA300_2347	19	174359	0.0634101581522754	nirR	nitrite reductase transcriptional regulator NirR	2524547
SAUSA300_0626	5	177560	0.0634718349650328	tagB	teichoic acid biosynthesis protein B	699824
SAUSA300_0176	2	68248	0.0634927299223964	-	ABC transporter permease	198814
SAUSA300_0096	1	104830	0.0636298067338237	-	hypothetical protein	104830
SAUSA300_2424	20	128827	0.0649167404274529	-	putative tandem lipoprotein	2609581
SAUSA300_2409	20	113185	0.0666681189832147	-	oligopeptide ABC transporter permease	2593939
SAUSA300_0381	3	170095	0.0667765499060982	-	putative NAD-P-H-flavin oxidoreductase	431227
SAUSA300_1330	11	185715	0.0691015596425989	ilvA	threonine dehydratase	1491375
SAUSA300_1275	11	97481	0.0711974404403031	-	peptide ABC transporter permease	1403141
SAUSA300_2317	19	142119	0.0718757182964184	-	putative zinc-binding dehydrogenase	2492307
SAUSA300_2648	22	130559	0.0734804525763517	rpmH	50S ribosomal protein L34	2872445
SAUSA300_0062	1	69839	0.0735066987227596	arcB	ornithine carbamoyltransferase	69839
SAUSA300_0039	0	179691	0.0738703973026696	-	hypothetical protein	49125
SAUSA300_2340	19	163817	0.0776255619027154	narI	respiratory nitrate reductase- gamma subunit	2514005
SAUSA300_0812	7	108872	0.0781728086898867	-	hypothetical protein	892268
SAUSA300_1551	13	135642	0.0787905111292432	-	hypothetical protein	1702434
SAUSA300_0288	3	82872	0.0803646038930486	-	hypothetical protein	344004
SAUSA300_2431	20	134069	0.0838077229391682	-	putative helicase	2614823
SAUSA300_1100	9	160034	0.0886017099833653	-	hypothetical protein	1204562
SAUSA300_0222	2	135139	0.089364626330805	-	hypothetical protein	265705
SAUSA300_0118	1	135444	0.0898791877834684	-	pyridoxal-phosphate dependent enzyme superfamily protein	135444
SAUSA300_1050	9	105147	0.0919766893007702	-	nucleoside-triphosphatase	1149675
SAUSA300_2025	17	97611	0.0921919595518371	rsbU	sigma-B regulation protein	2186667
SAUSA300_2308	19	131376	0.0931973411190181	-	response regulator protein	2481564
SAUSA300_1618	14	74169	0.0935677542826944	hemX	hemA concentration negative effector hemX	1771527
SAUSA300_0006	0	140261	0.0950863807686337	gyrA	DNA gyrase subunit A	9695
SAUSA300_0255	2	178032	0.0977770421244998	-	two-component response regulator	308598
SAUSA300_1444	12	162268	0.097988254207	scpB	segregation and condensation protein B	1598494
SAUSA300_0741	6	173100	0.0991425487301201	uvrB	excinuclease ABC subunit B	825930
SAUSA300_2105	17	185163	0.0995283698446468	mtlF	PTS system- mannitol specific IIBC component	2274219
SAUSA300_1519	13	102593	0.100195709261617	-	hypothetical protein	1669385
SAUSA300_0492	4	161099	0.101680349785941	folP	dihydropteroate synthase	552797
SAUSA300_0883	7	187149	0.103710476504597	-	putative surface protein	970545
SAUSA300_2257	19	74332	0.105705282107634	-	hypothetical protein	2424520
SAUSA300_2568	21	167830	0.107420096110359	arcD	arginine/ornithine antiporter	2779150
SAUSA300_0235	2	153314	0.108518880887585	-	L-lactate dehydrogenase	283880
SAUSA300_1885	16	88965	0.109270667570042	ligA	DNA ligase	2047455
SAUSA300_1393	12	121143	0.111190235956016	-	phiSLT ORF2067-like protein- phage tail tape measure protein	1557369
SAUSA300_2328	19	154358	0.111299413743415	-	hypothetical protein	2504546
SAUSA300_1903	16	112377	0.112572212346973	-	hypothetical protein	2070867
SAUSA300_2338	19	162287	0.11290028874306	-	sensor histidine kinase	2512475
SAUSA300_0181	2	80324	0.114038541983964	-	non-ribosomal peptide synthetase	210890
SAUSA300_2227	18	174820	0.114704661710559	moeB	molybdopterin biosynthesis protein B	2394442
SAUSA300_2558	21	157749	0.115996263777464	nsaS	nisin susceptibility-associated sensor histidine kinase	2769069
SAUSA300_1364	12	94214	0.117505717833635	engA	GTP-binding protein EngA	1530440
SAUSA300_2337	19	161611	0.118329290101412	-	DegU family transcriptional regulator	2511799
SAUSA300_0932	8	108161	0.118942665107472	-	hypothetical protein	1022123
SAUSA300_0140	1	159886	0.119728829690582	deoC	deoxyribose-phosphate aldolase	159886
SAUSA300_0121	1	139475	0.119879078867187	-	putative drug transporter	139475
SAUSA300_1699	14	176405	0.120566289500255	-	pseudouridine synthase family 1 protein	1873763
SAUSA300_2583	21	190741	0.126106037856831	-	putative glycosyl transferase	2802061
SAUSA300_2233	18	180168	0.1277166005531	-	BioY family protein	2399790
SAUSA300_2499	21	92339	0.129679393313908	crtM	squalene desaturase	2703659
SAUSA300_2224	18	172465	0.130905372130578	moeA	molybdopterin biosynthesis protein A	2392087
SAUSA300_2135	18	89065	0.131208695880219	-	iron compound ABC transporter permease	2308687
SAUSA300_2236	18	183305	0.131261381952009	-	hypothetical protein	2402927
SAUSA300_0005	0	137561	0.133057757891116	gyrB	DNA gyrase subunit B	6995
SAUSA300_0736	6	164171	0.133640814878237	yfiA	ribosomal subunit interface protein	817001
SAUSA300_2391	20	93559	0.137024747605647	opuCc	glycine betaine/carnitine/choline ABC transporter	2574313
SAUSA300_2272	19	92523	0.137151637044213	-	hypothetical protein	2442711
SAUSA300_2384	20	85047	0.138193896542168	-	putative Na+/H+ antiporter	2565801
SAUSA300_2266	19	86796	0.138442108167284	-	hypothetical protein	2436984
SAUSA300_1549	13	134197	0.140664346778555	-	ComE operon protein 1	1700989
SAUSA300_0710	6	135310	0.140946766058789	-	hypothetical protein	788140
SAUSA300_1613	14	68931	0.141869395390946	-	putative abrB protein	1766289
SAUSA300_0388	3	178690	0.142724141713939	guaB	inosine-5--monophosphate dehydrogenase	439822
SAUSA300_2566	21	166069	0.143963977595351	arcR	Crp/FNR family transcriptional regulator	2777389
SAUSA300_2063	17	137004	0.145021229966491	atpE	F0F1 ATP synthase subunit C	2226060
SAUSA300_0695	6	117290	0.146320814233207	-	radical activating enzyme family protein	770120
SAUSA300_0042	0	185174	0.146349592922645	-	hypothetical protein	54608
SAUSA300_2381	20	80267	0.148593922496908	-	hypothetical protein	2561021
SAUSA300_0303	3	92537	0.150737876778533	-	hypothetical protein	353669
SAUSA300_0506	4	173493	0.15107885573256	nupC	pyrimidine nucleoside transport protein	565191
SAUSA300_0468	4	136868	0.153056576093246	-	TatD family hydrolase	528566
SAUSA300_1910	16	117401	0.153445355707784	-	hypothetical protein	2075891
SAUSA300_2293	19	115494	0.158675166282413	corA	magnesium and cobalt transport protein	2465682
SAUSA300_2278	19	99418	0.162036868499221	hutU	urocanate hydratase	2449606
SAUSA300_0061	1	68890	0.163966349884286	arcC	carbamate kinase	68890
SAUSA300_0200	2	104506	0.164594584983978	-	peptide ABC transporter ATP-binding protein	235072
SAUSA300_0825	7	123027	0.164891108341151	-	2-nitropropane dioxygenase family oxidoreductase	906423
SAUSA300_0377	3	165669	0.165580063790723	-	hypothetical protein	426801
SAUSA300_1528	13	112696	0.167530737991829	cdd	cytidine deaminase	1679488
SAUSA300_0064	1	71606	0.168592860475086	arcD	arginine/oirnithine antiporter	71606
SAUSA300_1531	13	113926	0.171500870103962	phoH	PhoH family phosphate starvation-induced protein	1680718
SAUSA300_0545	5	88452	0.171649823703018	-	hypothetical protein	610716
SAUSA300_1305	11	130234	0.173218498213418	sucB	dihydrolipoamide succinyltransferase	1435894
SAUSA300_2167	18	127511	0.173667188406798	-	hypothetical protein	2347133
SAUSA300_0655	6	79691	0.174240777909207	-	hypothetical protein	732521
SAUSA300_0433	4	95662	0.177674197141491	cysM	cysteine synthase/cystathionine beta-synthase	487360
SAUSA300_1809	15	164159	0.179459642288132	-	hypothetical protein	1992083
SAUSA300_2312	19	133866	0.179830492807424	mqo	malate-quinone oxidoreductase	2484054
SAUSA300_2314	19	139313	0.181338645545694	-	hypothetical protein	2489501
SAUSA300_0621	5	172512	0.181754136938559	-	iron-dependent repressor	694776
SAUSA300_1703	14	187436	0.183819902031726	-	rhodanese-like domain-containing protein	1884794
SAUSA300_0922	8	99050	0.18527411501417	-	TerC family membrane protein	1013012
SAUSA300_2420	20	125191	0.185530049690337	-	hypothetical protein	2605945
SAUSA300_0769	7	72972	0.186304811871842	-	hypothetical protein	856368
SAUSA300_2108	17	188882	0.187744070638584	mtlD	mannitol-1-phosphate 5-dehydrogenase	2277938
SAUSA300_0153	1	175531	0.188035754902212	cap5B	capsular polysaccharide biosynthesis protein Cap5B	175531
SAUSA300_0112	1	127838	0.188606699218986	lctP	L-lactate permease	127838
SAUSA300_2193	18	145862	0.188823876910183	rplX	50S ribosomal protein L24	2365484
SAUSA300_0705	6	130202	0.188921857362593	recQ	ATP-dependent DNA helicase RecQ	783032
SAUSA300_1256	11	78519	0.189047956996119	msrA	methionine sulfoxide reductase A	1384179
SAUSA300_0216	2	125794	0.19093970834934	uhpT	sugar phosphate antiporter	256360
SAUSA300_0945	8	120447	0.19215921607046	-	isochorismate synthase family protein	1034409
SAUSA300_1629	14	85195	0.19488888961292	thrS	threonyl-tRNA synthetase	1782553
SAUSA300_1664	14	131477	0.196089242812355	ezrA	septation ring formation regulator EzrA	1828835
SAUSA300_0748	6	183126	0.196338869943405	-	hypothetical protein	835956
SAUSA300_0692	6	115072	0.196340119606804	-	hypothetical protein	767902
SAUSA300_2165	18	123916	0.196403704797143	budA	alpha-acetolactate decarboxylase	2343538
SAUSA300_0639	5	191513	0.196673442079162	-	hypothetical protein	713777
SAUSA300_1374	12	105237	0.197185440650808	-	hypothetical protein	1541463
SAUSA300_2059	17	133319	0.200971088920047	atpG	F0F1 ATP synthase subunit gamma	2222375
SAUSA300_1495	13	81626	0.202029325726298	-	hypothetical protein	1648418
SAUSA300_1044	9	97836	0.202786100255872	trx	thioredoxin	1142364
SAUSA300_0822	7	119897	0.20319601820498	sufB	FeS assembly protein SufB	903293
SAUSA300_1369	12	99452	0.203441827131066	-	pyridine nucleotide-disulfide oxidoreductase	1535678
SAUSA300_1682	14	155746	0.203933169267846	ccpA	catabolite control protein A	1853104
SAUSA300_2500	21	93239	0.204015063263045	-	glycosyl transferase	2704559
SAUSA300_2492	21	83953	0.205190127788399	-	acetyltransferase family protein	2695273
SAUSA300_2077	17	150224	0.206999651382114	-	hypothetical protein	2239280
SAUSA300_2265	19	84781	0.207629563875418	-	putative amino acid permease	2434969
SAUSA300_1544	13	127942	0.21065293978305	lepA	GTP-binding protein LepA	1694734
SAUSA300_0669	6	88977	0.210914176370199	-	undecaprenyl pyrophosphate phosphatase	741807
SAUSA300_2147	18	104330	0.212398938129153	-	alcohol dehydrogenase- zinc-containing	2323952
SAUSA300_2092	17	167018	0.212733640402136	dps	general stress protein 20U	2256074
SAUSA300_0897	8	71724	0.214910369660353	trpS	tryptophanyl-tRNA synthetase	985686
SAUSA300_1620	14	76569	0.2150246430774	engB	ribosome biogenesis GTP-binding protein YsxC	1773927
SAUSA300_0213	2	122303	0.216017635808108	-	Gfo/Idh/MocA family oxidoreductase	252869
SAUSA300_0877	7	181986	0.217029766820169	clpB	chaperone clpB	965382
SAUSA300_1507	13	91296	0.219097204986293	glk	glucokinase	1658088
SAUSA300_1189	10	136197	0.219986650923566	mutL	DNA mismatch repair protein	1311291
SAUSA300_0754	6	188809	0.220497073732747	-	hypothetical protein	841639
SAUSA300_1009	8	191672	0.220516844674176	typA	GTP-binding protein	1105634
SAUSA300_1848	15	182469	0.220737770104447	-	hypothetical protein	2010393
SAUSA300_0930	8	106183	0.220957391572141	-	lipoate-protein ligase A family protein	1020145
SAUSA300_0445	4	110203	0.221233039930653	gltB	glutamate synthase- large subunit	501901
SAUSA300_1886	16	90972	0.223870053614956	pcrA	ATP-dependent DNA helicase- PcrA	2049462
SAUSA300_2026	17	98962	0.224131019860722	-	PemK family protein	2188018
SAUSA300_2576	21	180131	0.225122283664047	-	phosphotransferase system- fructose-specific IIABC component	2791451
SAUSA300_1586	13	169313	0.225710276672465	aspS	aspartyl-tRNA synthetase	1736105
SAUSA300_0763	7	68081	0.226625963164497	est	carboxylesterase	851477
SAUSA300_0453	4	119736	0.227107383155479	-	hypothetical protein	511434
SAUSA300_0510	4	179378	0.229816707535582	clpC	endopeptidase	571076
SAUSA300_1166	10	106597	0.230461701035129	rpsO	30S ribosomal protein S15	1281691
SAUSA300_0844	7	139749	0.230736321931832	-	hypothetical protein	923145
SAUSA300_0394	3	183988	0.230791244480337	-	FAD/NAD-P--binding Rossmann fold superfamily protein	445120
SAUSA300_2309	19	132742	0.231019639644823	-	sensor histidine kinase	2482930
SAUSA300_0836	7	133684	0.231629282475876	dltB	dltB protein	917080
SAUSA300_1443	12	161538	0.231645189772011	rluB	ribosomal large subunit pseudouridine synthase B	1597764
SAUSA300_1465	12	183138	0.233563534320202	-	2-oxoisovalerate dehydrogenase- E1 component- beta subunit	1619364
SAUSA300_0471	4	138838	0.233566065043507	-	hypothetical protein	530536
SAUSA300_2007	17	79302	0.233952775240883	ilvB	acetolactate synthase large subunit	2168358
SAUSA300_0429	4	91967	0.236087310972035	-	hypothetical protein	483665
SAUSA300_1725	15	79547	0.236899742195828	-	putative translaldolase	1907471
SAUSA300_2477	20	193889	0.237199450279465	cidC	pyruvate oxidase	2674643
SAUSA300_0408	4	71148	0.239745691896691	-	hypothetical protein	462846
SAUSA300_0524	4	192447	0.239934025253558	rplJ	50S ribosomal protein L10	584145
SAUSA300_2358	19	183991	0.241615645358702	-	ABC transporter permease	2534179
SAUSA300_0120	1	138226	0.243125025722583	sbnC	IucC family siderophore biosynthesis protein	138226
SAUSA300_0420	4	81772	0.244760171959243	-	hypothetical protein	473470
SAUSA300_1252	11	72619	0.244771974999472	-	amino acid carrier protein	1378279
SAUSA300_2081	17	154081	0.245315601400579	pyrG	CTP synthetase	2243137
SAUSA300_1186	10	130736	0.246211235353623	-	hypothetical protein	1305830
SAUSA300_1349	12	79958	0.24804181917922	-	glycosyl transferase- group 1 family protein	1516184
SAUSA300_0821	7	118349	0.24952124277807	-	NifU family SUF system FeS assembly protein	901745
SAUSA300_0248	2	168997	0.249845644825941	-	putative teichoic acid biosynthesis protein F	299563
SAUSA300_1473	12	191716	0.251403080285317	nusB	transcription antitermination protein NusB	1627942
SAUSA300_0251	2	172717	0.25198319621066	-	putative teichoic acid biosynthesis protein	303283
SAUSA300_2443	20	156991	0.25218490602987	gntK	gluconate kinase	2637745
SAUSA300_0724	6	152240	0.252748787071294	-	hypothetical protein	805070
SAUSA300_1866	16	67716	0.254269638163801	vraS	two-component sensor histidine kinase	2026206
SAUSA300_0550	5	101811	0.255507256184183	-	glycosyl transferase- group 1 family protein	624075
SAUSA300_0867	7	164361	0.256273466344133	spsA	signal peptidase IA	947757
SAUSA300_0687	6	111108	0.256519113486772	-	putative hemolysin	763938
SAUSA300_1992	16	191210	0.257505570927771	agrA	accessory gene regulator protein A	2149700
SAUSA300_2099	17	174330	0.258773489600903	-	cation efflux family protein	2263386
SAUSA300_0998	8	180582	0.259606469301887	-	hypothetical protein	1094544
SAUSA300_0548	5	100096	0.259620837911624	sdrE	sdrE protein	622360
SAUSA300_2058	17	131885	0.260237802930097	atpD	F0F1 ATP synthase subunit beta	2220941
SAUSA300_2245	18	191078	0.260711590379319	-	accessory regulator R	2410700
SAUSA300_2628	22	112683	0.261022198468272	rarD	RarD protein	2854569
SAUSA300_2475	20	190732	0.261271542647624	-	hypothetical protein	2671486
SAUSA300_1916	16	123231	0.262506470294043	-	hypothetical protein	2081721
SAUSA300_2104	17	181139	0.262611467199847	glmS	glucosamine--fructose-6-phosphate aminotransferase	2270195
SAUSA300_1642	14	105080	0.265011455492357	-	D-serine/D-alanine/glycine transporter	1802438
SAUSA300_1572	13	154186	0.266818558638135	-	hypothetical protein	1720978
SAUSA300_1447	12	164210	0.266890349828433	xerD	tyrosine recombinase XerD	1600436
SAUSA300_1306	11	131516	0.268033801930128	sucA	2-oxoglutarate dehydrogenase E1 component	1437176
SAUSA300_1376	12	106379	0.268894278117068	-	putative lipoprotein	1542605
SAUSA300_2516	21	108295	0.269678639257972	-	short chain dehydrogenase/reductase family oxidoreductase	2719615
SAUSA300_0733	6	161425	0.269838309873424	-	degV family protein	814255
SAUSA300_1513	13	97144	0.272078342556163	-	Fe/Mn family superoxide dismutase	1663936
SAUSA300_0537	5	81401	0.272990570522972	-	ribulokinase	603665
SAUSA300_1236	10	179555	0.273297256875443	-	hypothetical protein	1354649
SAUSA300_0071	1	79445	0.274812857566423	-	ISSep1-like transposase	79445
SAUSA300_0629	5	179196	0.275608397934012	pbp4	penicillin-binding protein 4	701460
SAUSA300_0032	0	169693	0.276358054342116	mecA	penicillin-binding protein 2-	39127
SAUSA300_0374	3	163958	0.276865538143918	-	hypothetical protein	425090
SAUSA300_0529	5	70992	0.27717897597549	-	putative ribosomal protein L7Ae-like	593256
SAUSA300_1362	12	92756	0.27721052942545	hup	DNA-binding protein HU	1528982
SAUSA300_0874	7	175567	0.278176437860265	-	hypothetical protein	958963
SAUSA300_0707	6	132908	0.278280563762734	-	osmoprotectant ABC transporter permease	785738
SAUSA300_0990	8	172158	0.27883892891825	-	hypothetical protein	1086120
SAUSA300_0555	5	107258	0.27886476985407	-	putative hexulose-6-phosphate synthase	629522
SAUSA300_2222	18	171523	0.279803680490665	moaE	molybdopterin converting factor- subunit 2	2391145
SAUSA300_1854	15	188409	0.280251482832319	recX	recombination regulator RecX	2016333
SAUSA300_0967	8	147078	0.2809312920616	purK	phosphoribosylaminoimidazole carboxylase ATPase subunit	1061040
SAUSA300_2000	17	70674	0.2809312920616	vga	ABC transporter ATP-binding protein	2159730
SAUSA300_0827	7	124928	0.282024775404522	-	hypothetical protein	908324
SAUSA300_0749	6	184118	0.282297065882657	-	hypothetical protein	836948
SAUSA300_0119	1	136451	0.28261235669957	-	ornithine cyclodeaminase	136451
SAUSA300_2038	17	114226	0.283220662671405	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	2203282
SAUSA300_0389	3	180256	0.28418144789657	guaA	GMP synthase	441388
SAUSA300_1884	16	87753	0.284462748260746	-	CamS sex pheromone cAM373	2046243
SAUSA300_1037	9	88537	0.285151102066433	pheS	phenylalanyl-tRNA synthetase subunit alpha	1133065
SAUSA300_0750	6	185172	0.285204781261013	-	hypothetical protein	838002
SAUSA300_2256	19	73073	0.285915333473342	-	putative N-acetylmuramoyl-L-alanine amidase	2423261
SAUSA300_2550	21	145532	0.286544538453112	nrdG	anaerobic ribonucleotide reductase- small subunit	2756852
SAUSA300_0081	1	91197	0.288460490528235	-	hypothetical protein	91197
SAUSA300_2400	20	104745	0.288898483140344	-	glutamyl-aminopeptidase	2585499
SAUSA300_1534	13	116899	0.289536891510769	-	hypothetical protein	1683691
SAUSA300_1906	16	114671	0.290382167700818	-	hypothetical protein	2073161
SAUSA300_1320	11	145749	0.291299000121423	thyA	thymidylate synthase	1451409
SAUSA300_1328	11	182814	0.291507782348154	-	putative drug transporter	1488474
SAUSA300_1437	12	153767	0.293342306695221	-	phiSLT ORF204-like protein	1589993
SAUSA300_0138	1	157784	0.29354406265724	deoD	purine nucleoside phosphorylase	157784
SAUSA300_1532	13	115177	0.293564111794935	-	hypothetical protein	1681969
SAUSA300_2469	20	184652	0.293872376911319	sdaAA	L-serine dehydratase- iron-sulfur-dependent- alpha subunit	2665406
SAUSA300_0815	7	111179	0.294991783475409	ear	Ear protein	894575
